Content ID,Title,Year,Age,IMDb,Rotten Tomatoes,Hidden Gem,Awards Received,Awards Nominated,Directors,Platform,Type
NM65,Happy As Lazzaro,2018,13+,75,85,41,18,53,Alice Rohrwacher,Netflix,Movie
NM66,Chasing Coral,2017,all,81,85,72,7,17,Jeff Orlowski,Netflix,Movie
NM67,Kal Ho Naa Ho,2003,all,79,85,34,40,41,Nikkhil Advani,Netflix,Movie
NM68,Pan'S Labyrinth,2006,18+,82,85,46,109,115,Guillermo del Toro,Netflix,Movie
NM69,Team Foxcatcher,2016,16+,73,85,67,0,3,Jon Greenhalgh,Netflix,Movie
NM70,The Meyerowitz Stories (New And Selected),2017,18+,69,85,40,4,7,Noah Baumbach,Netflix,Movie
NM71,Casino Royale,2006,13+,80,85,42,27,44,Martin Campbell,Netflix,Movie
NM72,The Hateful Eight,2015,18+,78,85,37,42,116,Quentin Tarantino,Netflix,Movie
NM73,Rush,2013,18+,81,84,40,6,65,Ron Howard,Netflix,Movie
NM74,Zombieland,2009,18+,76,84,40,10,28,Ruben Fleischer,Netflix,Movie
NM75,Eurovision Song Contest: The Story Of Fire Saga,2020,13+,65,84,29,1,12,David Dobkin,Netflix,Movie
NM76,Kapoor & Sons,2016,13+,77,84,40,0,0,Shakun Batra,Netflix,Movie
NM77,The Perfection,2018,18+,62,84,30,3,0,Richard Shepard,Netflix,Movie
NM78,Dave Chappelle: Sticks & Stones,2019,18+,85,84,50,0,0,Stan Lathan,Netflix,Movie
NM79,There Will Be Blood,2007,18+,82,84,44,117,136,Paul Thomas Anderson,Netflix,Movie
NM80,Million Dollar Baby,2004,13+,81,84,43,68,85,Clint Eastwood,Netflix,Movie
NM81,The Social Network,2010,13+,77,84,45,173,185,David Fincher,Netflix,Movie
NM82,The Christmas Chronicles,2018,7+,70,84,31,0,2,Clay Kaytis,Netflix,Movie
NM83,Monty Python And The Holy Grail,1975,7+,82,84,45,3,3,Terry Gilliam,Netflix,Movie
NM84,The Pixar Story,2007,all,78,84,61,0,2,Leslie Iwerks,Netflix,Movie
NM85,Ma Rainey'S Black Bottom,2020,18+,70,84,39,0,0,George C. Wolfe,Netflix,Movie
NM86,Calibre,2018,18+,68,84,40,2,7,Matt Palmer,Netflix,Movie
NM87,Silver Linings Playbook,2012,18+,77,84,42,89,148,David O. Russell,Netflix,Movie
NM88,Over The Moon,2020,7+,64,84,37,0,0,Glen Keane,Netflix,Movie
NM89,"What Happened, Miss Simone?",2015,all,76,84,40,6,19,Liz Garbus,Netflix,Movie
NM90,Nightcrawler,2014,18+,78,84,42,42,124,Dan Gilroy,Netflix,Movie
NM91,1922,2017,18+,63,84,37,1,4,Zak Hilditch,Netflix,Movie
NM92,Paddleton,2019,18+,72,84,38,0,3,Alex Lehmann,Netflix,Movie
NM93,Cargo,2017,all,63,84,32,1,17,Ben Howling,Netflix,Movie
NM94,Rain Man,1988,18+,80,83,39,26,23,Barry Levinson,Netflix,Movie
NM95,Cuba And The Cameraman,2017,all,83,83,77,0,1,Jon Alpert,Netflix,Movie
NM96,The Ritual,2017,18+,63,83,32,4,4,David Bruckner,Netflix,Movie
NM97,The Hater,2020,18+,71,83,33,1,1,Jan Komasa,Netflix,Movie
NM98,The Edge Of Democracy,2019,16+,72,83,42,3,14,Petra Costa,Netflix,Movie
NM99,44399,2018,18+,68,83,36,2,3,Paul Greengrass,Netflix,Movie
NM100,Adam Sandler: 100% Fresh,2018,18+,76,83,68,0,0,Steven Brill,Netflix,Movie
NM101,Guru,2007,13+,77,83,40,0,0,Stephen Herek,Netflix,Movie
NM102,A Twelve-Year Night,2018,18+,75,83,46,47,30,Álvaro Brechner,Netflix,Movie
NM103,Dumplin',2018,13+,66,83,30,0,9,Anne Fletcher,Netflix,Movie
NM104,The Conjuring,2013,18+,75,83,38,15,22,James Wan,Netflix,Movie
NM105,Marriage Story,2019,18+,79,83,45,127,265,Noah Baumbach,Netflix,Movie
NM106,My Octopus Teacher,2020,all,81,83,42,7,9,Pippa Ehrlich,Netflix,Movie
NM107,About Time,2013,13+,78,83,34,3,9,Richard Curtis,Netflix,Movie
NM108,Hey Arnold! The Jungle Movie,2017,7+,76,83,40,0,0,Raymie Muzquiz,Netflix,Movie
NM109,Kung Fu Panda,2008,7+,76,83,39,14,39,Mark Osborne,Netflix,Movie
